Quarter,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,S. Africa,Croatia,Israel,Slovenia,Colombia,Portugal
2002:Q1,77.62,81.79,78.49,94.74,104.12,78.34,66.77,74.92,67.93,69.27,71.01,80.47,118.76,94.52,75.64,93.30,88.37,62.04,79.56,81.97,57.09,102.06,111.63,83.57,98.61,107.42
2002:Q2,81.75,83.02,79.37,95.70,104.62,78.65,69.39,76.17,69.89,73.75,72.06,81.54,117.53,97.33,76.77,93.96,88.89,63.14,80.40,82.51,57.02,101.17,111.64,83.37,97.31,106.58
2002:Q3,84.66,84.30,80.15,96.70,103.99,79.07,71.28,76.87,72.19,77.73,73.88,82.57,116.09,99.84,78.02,94.96,86.45,64.94,82.58,83.68,57.50,100.23,107.85,83.36,95.91,105.12
2002:Q4,86.91,85.62,82.09,97.47,102.58,79.18,73.26,77.94,73.29,81.94,75.48,83.98,114.64,101.34,79.71,94.15,87.05,66.91,83.17,84.68,58.49,101.76,105.62,83.55,94.62,104.13
2003:Q1,88.59,86.02,83.71,97.59,102.38,78.86,75.81,80.33,74.73,84.41,78.69,85.24,113.01,100.93,80.66,94.55,86.61,70.23,83.38,85.13,60.97,103.76,104.59,83.92,93.48,103.70
2003:Q2,93.35,87.13,85.70,97.93,104.08,80.09,78.55,81.81,77.29,85.75,80.99,86.98,111.63,103.50,83.43,95.22,86.13,73.02,84.59,85.83,62.91,103.18,101.21,84.52,92.98,103.48
2003:Q3,98.89,87.83,87.78,98.37,103.14,80.96,81.41,82.79,79.44,86.52,83.75,88.74,109.93,105.04,85.52,95.53,86.48,78.51,85.47,86.56,66.05,102.54,102.80,85.35,92.93,103.16
2003:Q4,102.15,88.91,88.93,98.68,101.71,81.43,84.07,85.71,81.27,88.84,85.85,90.50,108.45,104.78,87.90,96.06,87.61,83.16,87.23,88.78,71.26,105.18,102.05,86.43,93.36,102.73
2004:Q1,101.52,89.50,90.98,99.36,102.08,83.15,86.81,88.54,84.04,90.64,86.87,92.48,106.58,102.93,90.78,96.99,93.51,86.33,89.59,89.57,73.80,106.50,102.11,87.87,93.88,102.39
2004:Q2,99.98,90.03,93.98,99.56,100.52,85.32,89.44,90.75,86.58,94.09,89.07,93.94,105.18,102.72,93.16,97.44,93.07,88.09,91.72,90.88,78.28,104.77,103.30,89.46,94.83,101.86
